pricebook_description,pricebook_partId,pricebook_uom,pricebook_rate,invoice_description,invoice_uom,invoice_rate,
River Boat,River Boat,Day,500,River Boat,Daily,500
Senior Advisor - Jeff Biegel (Field),Senior Advisor - Jeff Biegel (Field),Hour,150,Senior Advisor,Hour,150
Senior Hydrogeologist/Groundwater Engineer (Field),Senior Hydrogeologist/Groundwater Engineer (Field),Hour,140,Senior Hydrogeologist/Geochemist,Hour,140
Senior Hydrogeologist/Groundwater Engineer (Office),Senior Hydrogeologist/Groundwater Engineer (Office),Hour,140,Senior Hydrogeologist/Geochemist,Hour,140
Senior Hydrogeologist/Groundwater Engineer (Travel),Senior Hydrogeologist/Groundwater Engineer (Travel),Hour,140,Senior Hydrogeologist/Geochemist,Hour,140
Senior Professional (Field),Senior Professional (Field),Hour,115,Senior Environmental Scientist,Hour,115
Senior Professional (Office),Senior Professional (Office),Hour,115,Senior Environmental Scientist,Hour,115
Senior Professional (Travel),Senior Professional (Travel),Hour,115,Senior Environmental Scientist,Hour,115
Senior Program Manager (Office),Senior Program Manager (Office),Hour,130,Senior Program Manager / Prof Sign Off,Hour,130
Senior Risk Assessor (Field),Senior Risk Assessor (Field),Hour,150,Senior Risk Assessor,Hour,150
Senior Risk Assessor (Office),Senior Risk Assessor (Office),Hour,150,Senior Risk Assessor,Hour,150
Senior Risk Assessor (Travel),Senior Risk Assessor (Travel),Hour,150,Senior Risk Assessor,Hour,150
Senior Technical Reviewer (Field),Senior Technical Reviewer (Field),Hour,130,Senior Program Manager / Prof Sign Off,Hour,130
Silt Fence 3x100',Silt Fence 3x100',Each,120,Silt Fence 3x100',Each,120
Sprayer Operator/Pesticide Applicator,Sprayer Operator/Pesticide Applicator,Hour,85,Sprayer Operator/Pesticide Applicator,Hour,85
Summer Student/Labourer,Summer Student/Labourer,Hour,70,Labourer,Hour,70
Argo,U1054,Day,455,Argo,Daily,455
Meals,U1123,Day,60,Subsistence,Daily,60
Vehicle km charge,Vehicle km charge ($/km),KM,1.1,Truck Mileage (km),KM,1.1
Waterpump (includes hose),Waterpump (includes hose),Day,200,Water Pump 3” - with 100ft hose,Daily,200
